,Batch,ID,Time,Embryo,Zona
72,D2018_01_29_S00153_I0831_D_pdb,E5,8802,,
73,D2018_01_29_S00153_I0831_D_pdb,E5,3431,0.1960,0.3073
74,D2018_01_29_S00153_I0831_D_pdb,E5,2020,0.1970,0.3005
75,D2018_01_29_S00153_I0831_D_pdb,E5,7099,0.2016,0.3104
76,D2018_01_29_S00153_I0831_D_pdb,E5,5576,0.1927,0.3035
77,D2018_01_29_S00153_I0831_D_pdb,E5,621,0.1943,0.3133
78,D2018_01_29_S00153_I0831_D_pdb,E5,1510,0.1945,0.3027
79,D2018_01_29_S00153_I0831_D_pdb,E5,4526,0.1941,0.3087
80,D2018_01_29_S00153_I0831_D_pdb,E5,9950,,
81,D2018_01_29_S00153_I0831_D_pdb,E5,3932,0.1987,0.3090
82,D2018_01_29_S00153_I0831_D_pdb,E5,5676,0.1961,0.3059
83,D2018_01_29_S00153_I0831_D_pdb,E5,3741,0.1991,0.3077
84,D2018_01_29_S00153_I0831_D_pdb,E5,3711,0.1993,0.3096
85,D2018_01_29_S00153_I0831_D_pdb,E5,8129,0.2111,0.3056
86,D2018_01_29_S00153_I0831_D_pdb,E5,1900,0.1973,0.3016
87,D2018_01_29_S00153_I0831_D_pdb,E5,9463,,
88,D2018_01_29_S00153_I0831_D_pdb,E5,3141,0.1987,0.3069
89,D2018_01_29_S00153_I0831_D_pdb,E5,4316,0.1961,0.3138
90,D2018_01_29_S00153_I0831_D_pdb,E5,3581,0.1974,0.3073
91,D2018_01_29_S00153_I0831_D_pdb,E5,6388,0.1931,0.3033
92,D2018_01_29_S00153_I0831_D_pdb,E5,3601,0.1983,0.3061
93,D2018_01_29_S00153_I0831_D_pdb,E5,6467,0.1914,0.3013
94,D2018_01_29_S00153_I0831_D_pdb,E5,2681,0.1943,0.3062
95,D2018_01_29_S00153_I0831_D_pdb,E5,4956,0.1950,0.3057
96,D2018_01_29_S00153_I0831_D_pdb,E5,4156,0.1993,0.3075
97,D2018_01_29_S00153_I0831_D_pdb,E5,5066,0.1928,0.3065
98,D2018_01_29_S00153_I0831_D_pdb,E5,9043,,
99,D2018_01_29_S00153_I0831_D_pdb,E5,1320,0.1930,0.3008
100,D2018_01_29_S00153_I0831_D_pdb,E5,3941,0.1997,0.3093
101,D2018_01_29_S00153_I0831_D_pdb,E5,4106,0.2003,0.3103
102,D2018_01_29_S00153_I0831_D_pdb,E5,8279,0.1967,0.3000
103,D2018_01_29_S00153_I0831_D_pdb,E5,4306,0.1984,0.3139
104,D2018_01_29_S00153_I0831_D_pdb,E5,6197,0.1961,0.3021
105,D2018_01_29_S00153_I0831_D_pdb,E5,4096,0.1998,0.3073
106,D2018_01_29_S00153_I0831_D_pdb,E5,7339,0.2152,0.3161
107,D2018_01_29_S00153_I0831_D_pdb,E5,3181,0.1981,0.3077
108,D2018_01_29_S00153_I0831_D_pdb,E5,4916,0.1942,0.3056
109,D2018_01_29_S00153_I0831_D_pdb,E5,9093,,
110,D2018_01_29_S00153_I0831_D_pdb,E5,911,0.1951,0.3153
111,D2018_01_29_S00153_I0831_D_pdb,E5,6297,0.1938,0.3026
112,D2018_01_29_S00153_I0831_D_pdb,E5,2331,0.1928,0.3082
113,D2018_01_29_S00153_I0831_D_pdb,E5,4716,0.1929,0.3106
114,D2018_01_29_S00153_I0831_D_pdb,E5,1690,0.1976,0.3067
115,D2018_01_29_S00153_I0831_D_pdb,E5,6708,0.1923,0.3055
116,D2018_01_29_S00153_I0831_D_pdb,E5,9423,,
117,D2018_01_29_S00153_I0831_D_pdb,E5,3251,0.1975,0.3055
118,D2018_01_29_S00153_I0831_D_pdb,E5,9313,,
119,D2018_01_29_S00153_I0831_D_pdb,E5,2801,0.1944,0.3073
120,D2018_01_29_S00153_I0831_D_pdb,E5,9032,,
121,D2018_01_29_S00153_I0831_D_pdb,E5,6988,0.1943,0.2973
122,D2018_01_29_S00153_I0831_D_pdb,E5,1760,0.1972,0.3026
123,D2018_01_29_S00153_I0831_D_pdb,E5,5947,0.1929,0.3022
124,D2018_01_29_S00153_I0831_D_pdb,E5,4726,0.1923,0.3080
125,D2018_01_29_S00153_I0831_D_pdb,E5,8602,,
126,D2018_01_29_S00153_I0831_D_pdb,E5,9643,,
127,D2018_01_29_S00153_I0831_D_pdb,E5,851,0.1963,0.3167
128,D2018_01_29_S00153_I0831_D_pdb,E5,6578,0.1917,0.3007
129,D2018_01_29_S00153_I0831_D_pdb,E5,8822,,
130,D2018_01_29_S00153_I0831_D_pdb,E5,8289,0.2007,0.2998
131,D2018_01_29_S00153_I0831_D_pdb,E5,37,0.1964,0.3165
132,D2018_01_29_S00153_I0831_D_pdb,E5,3021,0.1978,0.3084
133,D2018_01_29_S00153_I0831_D_pdb,E5,9473,,
134,D2018_01_29_S00153_I0831_D_pdb,E5,9870,,
135,D2018_01_29_S00153_I0831_D_pdb,E5,7909,0.2084,0.3134
136,D2018_01_29_S00153_I0831_D_pdb,E5,6858,0.1912,0.3012
137,D2018_01_29_S00153_I0831_D_pdb,E5,5146,0.1913,0.3046
138,D2018_01_29_S00153_I0831_D_pdb,E5,3921,0.1978,0.3049
139,D2018_01_29_S00153_I0831_D_pdb,E5,1970,0.1970,0.3029
140,D2018_01_29_S00153_I0831_D_pdb,E5,3731,0.1996,0.3082
141,D2018_01_29_S00153_I0831_D_pdb,E5,2000,0.1970,0.3015
142,D2018_01_29_S00153_I0831_D_pdb,E5,8049,0.2165,0.3217
143,D2018_01_29_S00153_I0831_D_pdb,E5,6187,0.1943,0.3053
