,Embryo,Static time,Last time,Max time,Method 1,Method 3
221,D2019_09_03_S00530_I0831_D_pdb_E7,6796,7670,7670,874,874
222,D2018_10_26_S00331_I0831_D_pdb_E8,4109,4109,4109,0,0
223,D2018_11_18_S00027_I3169_E9,6799,6891,6891,92,92
224,D2019_03_29_S00163_I3169_E2,6796,7063,7063,267,267
225,D2019_05_30_S00466_I0831_D_pdb_E9,6799,9761,9712,2962,2913
226,D2017_06_22_S0021_I831_pdb_E3,6797,6797,8033,0,1236
227,D2018_02_21_S00168_I0831_D_pdb_E9,6794,6794,6856,0,62
228,D2018_10_17_S00324_I0831_D_pdb_E7,6801,7039,7039,238,238
229,D2019_09_30_S00411_I3171_E2,6801,7093,7022,292,221
230,D2017_02_14_S0193_I776_pdb_E4,4163,4163,4163,0,0
231,D2019_01_18_S00380_I0831_D_pdb_E8,6800,6800,6810,0,10
232,D2019_03_04_S00410_I0831_D_pdb_E2,6804,7024,6814,220,10
233,D2018_08_01_S00270_I0831_D_pdb_E2,6803,6803,6986,0,183
234,D2019_02_25_S00120_I3169_E3,6801,6909,6909,108,108
235,D2019_06_14_S00325_I0800_D_pdb_E9,6802,7026,7026,224,224
236,D2017_10_14_S00357_I0776_D_pdb_E2,6797,6967,6867,170,70
237,D2019_04_05_S00432_I0831_D_pdb_E2,6796,7040,7030,244,234
238,D2019_01_28_S00082_I3169_E2,6798,6892,6861,94,63
239,D2019_04_19_S00300_I0800_D_pdb_E5,6800,7100,6910,300,110
240,D2018_10_24_S00330_I0831_D_pdb_E5,6801,6801,6861,0,60
241,D2019_10_28_S00498_I3169_E4,6800,6800,6887,0,87
242,D2018_05_03_S00474_I0776_E8,6801,6801,6881,0,80
243,D2020_02_06_S00587_I3171_E1,6798,7124,7124,326,326
244,D2019_02_27_S00122_I3169_E3,6801,7032,6919,231,118
245,D2017_10_11_S0092_I831_pdb_E2,2839,2839,2839,0,0
246,D2019_08_26_S00527_I0831_D_pdb_E3,6800,6779,6800,21,0
247,D2018_09_21_S00306_I0831_D_pdb_E2,6798,6950,6930,152,132
248,D2018_05_11_S00158_I0800_D_pdb_E2,6800,6789,6834,11,34
249,D2018_09_03_S00296_I0831_D_pdb_E6,6802,7018,6917,216,115
250,D2019_08_15_S00341_I0800_D_pdb_E3,6805,7194,7166,389,361
251,D2018_10_05_S00317_I0831_D_pdb_E3,1393,1393,1393,0,0
252,D2019_04_24_S00197_I3171_E3,6797,6797,6830,0,33
253,D2019_05_01_S00303_I0800_D_pdb_E7,6798,6961,6948,163,150
254,D2018_04_22_S00469_I0776_E1,6803,6803,6803,0,0
255,D2019_06_03_S00321_I0800_D_pdb_E10,6802,6802,6852,0,50
256,D2018_02_21_S00431_I0776_D_pdb_E2,6805,6805,7455,0,650
257,D2018_11_21_S00572_I0776_D_pdb_E4,6803,6913,6833,110,30
258,D2018_07_06_S00252_I0831_D_pdb_E9,5536,5536,5536,0,0
259,D2017_11_26_S00391_I0776_D_pdb_E4,6806,7104,7094,298,288
260,D2019_04_18_S00186_I3171_E4,6802,7042,6996,240,194
261,D2019_03_09_S00140_I3171_E1,6798,6798,6861,0,63
262,D2019_03_08_S00127_I3169_E9,6803,6973,6963,170,160
263,D2019_09_02_S00403_I3169_E3,6805,7021,7021,216,216
264,D2018_12_15_S00373_I0831_D_pdb_E6,6804,6804,6814,0,10
265,D2017_11_01_S00369_I0776_D_pdb_E2,6797,6837,6837,40,40
266,D2019_07_12_S00329_I3169_E1,6801,6801,6801,0,0
267,D2016_07_12_S0061_I776_pdb_E1,6796,7177,7177,381,381
268,D2019_11_29_S00522_I3171_E5,6802,6802,6891,0,89
269,D2018_06_08_S00233_I0831_D_pdb_E2,6799,7118,6809,319,10
270,D2016_08_17_S0086_I776_pdb_E5,6804,6914,6904,110,100
271,D2019_02_02_S00583_I0776_D_pdb_E8,6796,6936,6936,140,140
272,D2019_03_01_S00130_I3171_E4,6796,6796,6815,0,19
273,D2019_03_20_S00154_I3171_E10,6800,6943,6943,143,143
274,D2018_02_21_S00167_I0831_D_pdb_E8,6796,7031,7031,235,235
275,D2020_03_09_S00652_I3171_E9,6802,6802,6877,0,75
276,D2017_03_30_S0222_I776_pdb_E7,6800,9194,8272,2394,1472
277,D2019_02_14_S00110_I3171_E4,6801,6801,6811,0,10
278,D2018_08_05_S00208_I0800_D_pdb_E1,6797,6797,6868,0,71
279,D2019_03_01_S00129_I3171_E6,6803,6803,6803,0,0
280,D2018_12_03_S00045_I3169_E10,6803,8351,8148,1548,1345
281,D2018_07_20_S00263_I0831_D_pdb_E6,6796,7085,6943,289,147
282,D2017_05_31_S0257_I776_pdb_E3,6799,6799,6839,0,40
