,Batch,ID,Time,Class,Confidence,Size
0,D2019_03_10_S00130_I3169,E1,4243,zona,0.9996,0.3646
1,D2019_03_10_S00130_I3169,E1,4243,embryo,0.9978,0.2049
2,D2019_03_10_S00130_I3169,E1,4109,zona,0.9995,0.3631
3,D2019_03_10_S00130_I3169,E1,4109,embryo,0.9951,0.2209
4,D2019_03_10_S00130_I3169,E1,8355,zona,0.9996,0.3682
5,D2019_03_10_S00130_I3169,E1,8355,embryo,0.6608,0.1926
6,D2019_03_10_S00130_I3169,E1,6586,zona,0.9994,0.3788
7,D2019_03_10_S00130_I3169,E1,6586,embryo,0.9973,0.2058
8,D2019_03_10_S00130_I3169,E1,2621,embryo,1.0000,0.2182
9,D2019_03_10_S00130_I3169,E1,2621,zona,0.9998,0.3704
10,D2019_03_10_S00130_I3169,E1,6395,zona,0.9994,0.3752
11,D2019_03_10_S00130_I3169,E1,6395,embryo,0.9993,0.2094
12,D2019_03_10_S00130_I3169,E1,7223,zona,0.9994,0.3194
13,D2019_03_10_S00130_I3169,E1,756,zona,0.9994,0.3707
14,D2019_03_10_S00130_I3169,E1,756,embryo,0.9976,0.2085
15,D2019_03_10_S00130_I3169,E1,7756,zona,1.0000,0.3355
16,D2019_03_10_S00130_I3169,E1,6993,zona,1.0000,0.3252
17,D2019_03_10_S00130_I3169,E1,5994,zona,0.9994,0.3945
18,D2019_03_10_S00130_I3169,E1,5994,embryo,0.9978,0.2050
19,D2019_03_10_S00130_I3169,E1,2442,zona,0.9995,0.3714
20,D2019_03_10_S00130_I3169,E1,2442,embryo,0.7929,0.2156
21,D2019_03_10_S00130_I3169,E1,6828,zona,0.9993,0.3911
22,D2019_03_10_S00130_I3169,E1,6828,embryo,0.9853,0.2345
23,D2019_03_10_S00130_I3169,E1,584,zona,0.9995,0.3599
24,D2019_03_10_S00130_I3169,E1,584,embryo,0.9974,0.1955
25,D2019_03_10_S00130_I3169,E1,4655,zona,0.9996,0.3772
26,D2019_03_10_S00130_I3169,E1,4655,embryo,0.9994,0.1907
27,D2019_03_10_S00130_I3169,E1,9155,zona,1.0000,0.3397
28,D2019_03_10_S00130_I3169,E1,3934,zona,0.9978,0.3714
29,D2019_03_10_S00130_I3169,E1,3934,embryo,0.9253,0.2455
30,D2019_03_10_S00130_I3169,E1,4916,zona,0.9999,0.3251
31,D2019_03_10_S00130_I3169,E1,4916,embryo,0.9994,0.1788
32,D2019_03_10_S00130_I3169,E1,4574,zona,0.9999,0.3670
33,D2019_03_10_S00130_I3169,E1,4574,embryo,0.9972,0.2064
34,D2019_03_10_S00130_I3169,E1,3592,embryo,0.9998,0.1946
35,D2019_03_10_S00130_I3169,E1,3592,zona,0.9995,0.3713
36,D2019_03_10_S00130_I3169,E1,2865,zona,0.9999,0.3518
37,D2019_03_10_S00130_I3169,E1,2865,embryo,0.9998,0.2220
38,D2019_03_10_S00130_I3169,E1,5712,zona,0.9989,0.3884
39,D2019_03_10_S00130_I3169,E1,5712,embryo,0.9032,0.1994
40,D2019_03_10_S00130_I3169,E1,9647,zona,0.9998,0.3470
41,D2019_03_10_S00130_I3169,E1,9647,embryo,0.7972,0.2430
42,D2019_03_10_S00130_I3169,E1,2433,zona,0.9997,0.3567
43,D2019_03_10_S00130_I3169,E1,2433,embryo,0.9839,0.2239
44,D2019_03_10_S00130_I3169,E1,651,zona,0.9995,0.3699
