,Batch,ID,Time,Class,Confidence,Size
0,D2017_11_22_S00389_I0776,E6,5646,zona,0.9997,0.3109
1,D2017_11_22_S00389_I0776,E6,5646,embryo,0.9669,0.1882
2,D2017_11_22_S00389_I0776,E6,8161,zona,0.9999,0.2887
3,D2017_11_22_S00389_I0776,E6,7601,zona,0.9999,0.2829
4,D2017_11_22_S00389_I0776,E6,5536,zona,0.9996,0.3060
5,D2017_11_22_S00389_I0776,E6,5536,embryo,0.9853,0.1879
6,D2017_11_22_S00389_I0776,E6,3524,zona,0.9996,0.2775
7,D2017_11_22_S00389_I0776,E6,3524,embryo,0.9981,0.2160
8,D2017_11_22_S00389_I0776,E6,1643,zona,1.0000,0.2861
9,D2017_11_22_S00389_I0776,E6,1643,embryo,0.9992,0.1976
10,D2017_11_22_S00389_I0776,E6,5366,zona,1.0000,0.3169
11,D2017_11_22_S00389_I0776,E6,5366,embryo,0.9984,0.2023
12,D2017_11_22_S00389_I0776,E6,3634,embryo,0.9998,0.1967
13,D2017_11_22_S00389_I0776,E6,3634,zona,0.9995,0.2806
14,D2017_11_22_S00389_I0776,E6,6317,zona,0.9990,0.3968
15,D2017_11_22_S00389_I0776,E6,6317,embryo,0.9208,0.2501
16,D2017_11_22_S00389_I0776,E6,8327,zona,0.9999,0.2925
17,D2017_11_22_S00389_I0776,E6,8327,embryo,0.9958,0.2001
18,D2017_11_22_S00389_I0776,E6,3093,zona,0.9990,0.2997
19,D2017_11_22_S00389_I0776,E6,3093,embryo,0.9738,0.2461
20,D2017_11_22_S00389_I0776,E6,8231,zona,0.9964,0.2732
21,D2017_11_22_S00389_I0776,E6,8171,zona,0.9999,0.2868
22,D2017_11_22_S00389_I0776,E6,1993,zona,0.9998,0.2905
23,D2017_11_22_S00389_I0776,E6,1993,embryo,0.9994,0.1899
24,D2017_11_22_S00389_I0776,E6,3934,zona,0.9980,0.3063
25,D2017_11_22_S00389_I0776,E6,3934,embryo,0.9977,0.1922
26,D2017_11_22_S00389_I0776,E6,3614,zona,0.9985,0.3912
