,Batch,ID,Time,Class,Confidence,Size
0,D2016_05_29_S0030_I776,E2,1633,zona,0.9992,0.2689
1,D2016_05_29_S0030_I776,E2,8380,zona,0.9989,0.3510
2,D2016_05_29_S0030_I776,E2,8380,embryo,0.9393,0.2988
3,D2016_05_29_S0030_I776,E2,2304,zona,0.9999,0.2959
4,D2016_05_29_S0030_I776,E2,2856,zona,1.0000,0.2933
5,D2016_05_29_S0030_I776,E2,4321,zona,1.0000,0.2917
6,D2016_05_29_S0030_I776,E2,5331,zona,0.9999,0.2841
7,D2016_05_29_S0030_I776,E2,2484,zona,1.0000,0.2830
8,D2016_05_29_S0030_I776,E2,2484,embryo,0.5855,0.2181
9,D2016_05_29_S0030_I776,E2,1613,zona,0.9985,0.2670
10,D2016_05_29_S0030_I776,E2,1853,zona,0.9996,0.2909
11,D2016_05_29_S0030_I776,E2,2736,zona,0.9997,0.2754
12,D2016_05_29_S0030_I776,E2,4941,zona,0.9998,0.2963
13,D2016_05_29_S0030_I776,E2,5251,zona,1.0000,0.2851
14,D2016_05_29_S0030_I776,E2,2024,zona,0.9994,0.2737
15,D2016_05_29_S0030_I776,E2,7950,zona,0.9997,0.3541
16,D2016_05_29_S0030_I776,E2,7950,embryo,0.9949,0.2591
17,D2016_05_29_S0030_I776,E2,3357,zona,0.9957,0.2605
18,D2016_05_29_S0030_I776,E2,8180,embryo,0.9998,0.3162
19,D2016_05_29_S0030_I776,E2,8180,zona,0.9993,0.3652
20,D2016_05_29_S0030_I776,E2,5161,zona,0.9998,0.2931
21,D2016_05_29_S0030_I776,E2,4160,zona,0.9997,0.3031
22,D2016_05_29_S0030_I776,E2,6407,zona,1.0000,0.3148
23,D2016_05_29_S0030_I776,E2,6407,embryo,0.9999,0.2160
24,D2016_05_29_S0030_I776,E2,8120,zona,0.9962,0.3655
25,D2016_05_29_S0030_I776,E2,8120,embryo,0.9757,0.2457
26,D2016_05_29_S0030_I776,E2,4311,zona,1.0000,0.3004
27,D2016_05_29_S0030_I776,E2,6357,zona,1.0000,0.3010
28,D2016_05_29_S0030_I776,E2,6357,embryo,0.9913,0.2557
29,D2016_05_29_S0030_I776,E2,5877,zona,1.0000,0.2947
