,Batch,ID,Time,Class,Confidence,Size
0,D2019_08_27_S00395_I3169,E11,2812,zona,1.0000,0.3247
1,D2019_08_27_S00395_I3169,E11,2812,embryo,0.9963,0.2209
2,D2019_08_27_S00395_I3169,E11,4086,zona,1.0000,0.3244
3,D2019_08_27_S00395_I3169,E11,4086,embryo,0.9967,0.2193
4,D2019_08_27_S00395_I3169,E11,1838,zona,0.9995,0.3278
5,D2019_08_27_S00395_I3169,E11,1838,embryo,0.9989,0.2181
6,D2019_08_27_S00395_I3169,E11,6269,zona,0.9999,0.3933
7,D2019_08_27_S00395_I3169,E11,6269,embryo,0.9990,0.2700
8,D2019_08_27_S00395_I3169,E11,4274,zona,0.9982,0.3757
9,D2019_08_27_S00395_I3169,E11,4274,embryo,0.9811,0.2248
10,D2019_08_27_S00395_I3169,E11,4644,zona,0.9988,0.2920
11,D2019_08_27_S00395_I3169,E11,4644,embryo,0.9170,0.2259
12,D2019_08_27_S00395_I3169,E11,4915,zona,0.9996,0.3237
13,D2019_08_27_S00395_I3169,E11,4915,embryo,0.9988,0.1944
14,D2019_08_27_S00395_I3169,E11,3222,zona,0.9997,0.3151
15,D2019_08_27_S00395_I3169,E11,3222,embryo,0.9965,0.2068
16,D2019_08_27_S00395_I3169,E11,4925,zona,0.9994,0.3763
17,D2019_08_27_S00395_I3169,E11,4925,embryo,0.9990,0.1989
18,D2019_08_27_S00395_I3169,E11,6465,zona,0.9999,0.3926
19,D2019_08_27_S00395_I3169,E11,6465,embryo,0.9975,0.2846
20,D2019_08_27_S00395_I3169,E11,5555,zona,0.9988,0.2939
21,D2019_08_27_S00395_I3169,E11,3347,zona,0.9995,0.3732
22,D2019_08_27_S00395_I3169,E11,3347,embryo,0.9984,0.2085
23,D2019_08_27_S00395_I3169,E11,3608,zona,0.9994,0.3721
24,D2019_08_27_S00395_I3169,E11,3608,embryo,0.9972,0.2000
25,D2019_08_27_S00395_I3169,E11,6652,zona,1.0000,0.3999
26,D2019_08_27_S00395_I3169,E11,6652,embryo,0.9937,0.2409
27,D2019_08_27_S00395_I3169,E11,3774,zona,0.9995,0.3838
28,D2019_08_27_S00395_I3169,E11,3774,embryo,0.9986,0.2006
29,D2019_08_27_S00395_I3169,E11,2275,zona,1.0000,0.3169
30,D2019_08_27_S00395_I3169,E11,2275,embryo,0.9976,0.2072
31,D2019_08_27_S00395_I3169,E11,2618,zona,1.0000,0.3244
32,D2019_08_27_S00395_I3169,E11,2618,embryo,0.9798,0.1996
33,D2019_08_27_S00395_I3169,E11,4253,zona,0.9981,0.3752
34,D2019_08_27_S00395_I3169,E11,4253,embryo,0.9980,0.2058
35,D2019_08_27_S00395_I3169,E11,2888,zona,1.0000,0.3364
36,D2019_08_27_S00395_I3169,E11,2888,embryo,0.9983,0.1910
37,D2019_08_27_S00395_I3169,E11,2448,zona,0.9997,0.3111
38,D2019_08_27_S00395_I3169,E11,2448,embryo,0.9835,0.2085
39,D2019_08_27_S00395_I3169,E11,4498,zona,0.9975,0.4078
40,D2019_08_27_S00395_I3169,E11,4498,embryo,0.9764,0.2243
41,D2019_08_27_S00395_I3169,E11,1655,zona,0.9999,0.3130
