,Batch,ID,Time,Class,Confidence,Size
87,D2016_05_27_S0028_I776,E10,5816,zona,0.9997,0.2530
88,D2016_05_27_S0028_I776,E10,5816,embryo,0.7606,0.1805
89,D2016_05_27_S0028_I776,E10,5966,zona,0.9999,0.2778
90,D2016_05_27_S0028_I776,E10,5966,embryo,0.9985,0.1810
91,D2016_05_27_S0028_I776,E10,4813,zona,0.9999,0.2992
92,D2016_05_27_S0028_I776,E10,4813,embryo,0.9882,0.1956
93,D2016_05_27_S0028_I776,E10,6556,zona,0.9992,0.2693
94,D2016_05_27_S0028_I776,E10,2091,zona,0.9995,0.3257
95,D2016_05_27_S0028_I776,E10,2091,embryo,0.9868,0.1976
96,D2016_05_27_S0028_I776,E10,6306,zona,0.9998,0.2794
97,D2016_05_27_S0028_I776,E10,6306,embryo,0.6039,0.2064
98,D2016_05_27_S0028_I776,E10,2381,zona,0.9999,0.2901
99,D2016_05_27_S0028_I776,E10,2381,embryo,0.9992,0.1771
100,D2016_05_27_S0028_I776,E10,6683,zona,0.9997,0.2855
101,D2016_05_27_S0028_I776,E10,6683,embryo,0.6795,0.1770
102,D2016_05_27_S0028_I776,E10,1181,embryo,0.9992,0.1726
103,D2016_05_27_S0028_I776,E10,1181,zona,0.9983,0.3021
104,D2016_05_27_S0028_I776,E10,4693,zona,0.9999,0.3011
105,D2016_05_27_S0028_I776,E10,4693,embryo,0.9987,0.1826
106,D2016_05_27_S0028_I776,E10,2605,zona,0.9999,0.3012
107,D2016_05_27_S0028_I776,E10,2605,embryo,0.9927,0.1929
108,D2016_05_27_S0028_I776,E10,1131,zona,0.9986,0.2962
109,D2016_05_27_S0028_I776,E10,1131,embryo,0.9963,0.1524
110,D2016_05_27_S0028_I776,E10,2765,zona,0.9999,0.2927
111,D2016_05_27_S0028_I776,E10,2765,embryo,0.9959,0.1861
112,D2016_05_27_S0028_I776,E10,1491,zona,0.9998,0.3010
113,D2016_05_27_S0028_I776,E10,1491,embryo,0.9980,0.1757
114,D2016_05_27_S0028_I776,E10,4933,zona,0.9999,0.3088
115,D2016_05_27_S0028_I776,E10,4933,embryo,0.9998,0.1905
116,D2016_05_27_S0028_I776,E10,5856,zona,0.9999,0.2839
117,D2016_05_27_S0028_I776,E10,5856,embryo,0.9934,0.1977
118,D2016_05_27_S0028_I776,E10,2241,embryo,0.9926,0.2094
119,D2016_05_27_S0028_I776,E10,2241,zona,0.9671,0.3383
120,D2016_05_27_S0028_I776,E10,6376,zona,0.9992,0.2609
121,D2016_05_27_S0028_I776,E10,6376,embryo,0.9661,0.1879
122,D2016_05_27_S0028_I776,E10,5425,zona,0.9997,0.2874
123,D2016_05_27_S0028_I776,E10,5425,embryo,0.8991,0.1912
124,D2016_05_27_S0028_I776,E10,3765,zona,0.9999,0.3061
125,D2016_05_27_S0028_I776,E10,3765,embryo,0.9996,0.1848
126,D2016_05_27_S0028_I776,E10,7000,zona,0.9999,0.2937
127,D2016_05_27_S0028_I776,E10,7000,embryo,0.9948,0.2089
128,D2016_05_27_S0028_I776,E10,8030,zona,0.9993,0.3339
129,D2016_05_27_S0028_I776,E10,8030,embryo,0.9966,0.1881
130,D2016_05_27_S0028_I776,E10,1011,zona,0.9991,0.3051
131,D2016_05_27_S0028_I776,E10,1011,embryo,0.6328,0.2015
132,D2016_05_27_S0028_I776,E10,5303,zona,0.9997,0.2937
133,D2016_05_27_S0028_I776,E10,5303,embryo,0.9942,0.1978
134,D2016_05_27_S0028_I776,E10,2111,zona,0.9998,0.3153
135,D2016_05_27_S0028_I776,E10,2111,embryo,0.9995,0.1932
136,D2016_05_27_S0028_I776,E10,5776,zona,0.9997,0.2934
137,D2016_05_27_S0028_I776,E10,5776,embryo,0.9513,0.2050
138,D2016_05_27_S0028_I776,E10,4583,zona,0.9999,0.2864
139,D2016_05_27_S0028_I776,E10,4583,embryo,0.9976,0.2032
140,D2016_05_27_S0028_I776,E10,7780,zona,0.9998,0.3351
141,D2016_05_27_S0028_I776,E10,7780,embryo,0.9990,0.2313
142,D2016_05_27_S0028_I776,E10,2101,zona,0.9997,0.3221
143,D2016_05_27_S0028_I776,E10,2101,embryo,0.9971,0.1896
144,D2016_05_27_S0028_I776,E10,5213,zona,0.9998,0.2814
145,D2016_05_27_S0028_I776,E10,5213,embryo,0.9954,0.2000
146,D2016_05_27_S0028_I776,E10,4523,embryo,1.0000,0.1842
147,D2016_05_27_S0028_I776,E10,4523,zona,0.9999,0.3037
148,D2016_05_27_S0028_I776,E10,1031,zona,0.9992,0.3148
149,D2016_05_27_S0028_I776,E10,1031,embryo,0.9973,0.1915
150,D2016_05_27_S0028_I776,E10,3395,zona,0.9999,0.3119
151,D2016_05_27_S0028_I776,E10,3395,embryo,0.9980,0.1928
152,D2016_05_27_S0028_I776,E10,1071,zona,0.9976,0.2865
153,D2016_05_27_S0028_I776,E10,1071,embryo,0.9951,0.1631
154,D2016_05_27_S0028_I776,E10,7230,zona,0.9997,0.2684
155,D2016_05_27_S0028_I776,E10,7230,embryo,0.9918,0.1585
156,D2016_05_27_S0028_I776,E10,4463,zona,0.9999,0.3097
157,D2016_05_27_S0028_I776,E10,4463,embryo,0.9989,0.1926
158,D2016_05_27_S0028_I776,E10,3745,zona,0.9999,0.3145
159,D2016_05_27_S0028_I776,E10,3745,embryo,0.9997,0.1963
160,D2016_05_27_S0028_I776,E10,6116,zona,0.9999,0.3176
161,D2016_05_27_S0028_I776,E10,6116,embryo,0.9887,0.1901
162,D2016_05_27_S0028_I776,E10,6850,zona,0.9999,0.2859
163,D2016_05_27_S0028_I776,E10,6850,embryo,0.9968,0.2021
164,D2016_05_27_S0028_I776,E10,4773,zona,0.9999,0.3079
165,D2016_05_27_S0028_I776,E10,4773,embryo,0.9995,0.1809
166,D2016_05_27_S0028_I776,E10,4883,zona,0.9998,0.2886
167,D2016_05_27_S0028_I776,E10,4883,embryo,0.9996,0.1879
168,D2016_05_27_S0028_I776,E10,8266,zona,0.9993,0.3239
169,D2016_05_27_S0028_I776,E10,8266,embryo,0.9987,0.2249
170,D2016_05_27_S0028_I776,E10,2915,zona,0.9999,0.3089
171,D2016_05_27_S0028_I776,E10,2915,embryo,0.9999,0.1617
172,D2016_05_27_S0028_I776,E10,3355,zona,0.9999,0.2978
173,D2016_05_27_S0028_I776,E10,3355,embryo,0.9998,0.1981
174,D2016_05_27_S0028_I776,E10,4383,zona,0.9999,0.2917
175,D2016_05_27_S0028_I776,E10,4383,embryo,0.9997,0.1805
176,D2016_05_27_S0028_I776,E10,5403,zona,0.9997,0.2981
177,D2016_05_27_S0028_I776,E10,5403,embryo,0.9951,0.1943
178,D2016_05_27_S0028_I776,E10,1001,zona,0.9987,0.3159
179,D2016_05_27_S0028_I776,E10,1001,embryo,0.9294,0.1972
180,D2016_05_27_S0028_I776,E10,2645,zona,0.9998,0.3051
181,D2016_05_27_S0028_I776,E10,2645,embryo,0.9580,0.1941
182,D2016_05_27_S0028_I776,E10,7080,zona,0.9998,0.2692
183,D2016_05_27_S0028_I776,E10,7080,embryo,0.9601,0.1968
184,D2016_05_27_S0028_I776,E10,8216,zona,0.9997,0.3415
185,D2016_05_27_S0028_I776,E10,8216,embryo,0.9952,0.2141
186,D2016_05_27_S0028_I776,E10,6950,zona,0.9989,0.2794
187,D2016_05_27_S0028_I776,E10,6950,embryo,0.9868,0.2054
188,D2016_05_27_S0028_I776,E10,4543,zona,1.0000,0.2931
189,D2016_05_27_S0028_I776,E10,4543,embryo,0.9999,0.2058
190,D2016_05_27_S0028_I776,E10,2011,zona,0.9999,0.3225
191,D2016_05_27_S0028_I776,E10,2011,embryo,0.9999,0.1692
192,D2016_05_27_S0028_I776,E10,4403,zona,0.9999,0.2954
193,D2016_05_27_S0028_I776,E10,4403,embryo,0.9937,0.2004
194,D2016_05_27_S0028_I776,E10,3605,zona,0.9998,0.3088
195,D2016_05_27_S0028_I776,E10,3605,embryo,0.9365,0.1956
196,D2016_05_27_S0028_I776,E10,6940,zona,0.9998,0.2700
197,D2016_05_27_S0028_I776,E10,6940,embryo,0.9544,0.1905
198,D2016_05_27_S0028_I776,E10,7711,zona,0.9989,0.2850
199,D2016_05_27_S0028_I776,E10,6206,zona,0.9998,0.2847
200,D2016_05_27_S0028_I776,E10,6206,embryo,0.9806,0.1908
201,D2016_05_27_S0028_I776,E10,2815,zona,0.9998,0.2948
202,D2016_05_27_S0028_I776,E10,2815,embryo,0.9957,0.1721
203,D2016_05_27_S0028_I776,E10,4793,zona,0.9999,0.3053
204,D2016_05_27_S0028_I776,E10,4793,embryo,0.9988,0.1928
205,D2016_05_27_S0028_I776,E10,7691,zona,0.9978,0.3036
206,D2016_05_27_S0028_I776,E10,7360,zona,0.9995,0.2801
207,D2016_05_27_S0028_I776,E10,3675,zona,0.9999,0.2964
208,D2016_05_27_S0028_I776,E10,3675,embryo,0.9572,0.2097
209,D2016_05_27_S0028_I776,E10,1361,embryo,0.9998,0.1656
210,D2016_05_27_S0028_I776,E10,1361,zona,0.9989,0.3082
211,D2016_05_27_S0028_I776,E10,2855,zona,0.9998,0.2958
212,D2016_05_27_S0028_I776,E10,2855,embryo,0.9606,0.1909
213,D2016_05_27_S0028_I776,E10,4913,zona,0.9998,0.3017
214,D2016_05_27_S0028_I776,E10,4913,embryo,0.9992,0.1952
215,D2016_05_27_S0028_I776,E10,7470,zona,0.9998,0.2910
216,D2016_05_27_S0028_I776,E10,7470,embryo,0.9947,0.2013
217,D2016_05_27_S0028_I776,E10,4703,zona,0.9999,0.2855
218,D2016_05_27_S0028_I776,E10,4703,embryo,0.9920,0.1972
219,D2016_05_27_S0028_I776,E10,6586,zona,0.9999,0.2644
220,D2016_05_27_S0028_I776,E10,6586,embryo,0.9162,0.1952
221,D2016_05_27_S0028_I776,E10,7890,zona,0.9969,0.3378
222,D2016_05_27_S0028_I776,E10,7890,embryo,0.9918,0.1673
223,D2016_05_27_S0028_I776,E10,991,zona,0.9986,0.3119
224,D2016_05_27_S0028_I776,E10,991,embryo,0.9164,0.2069
225,D2016_05_27_S0028_I776,E10,3655,zona,0.9999,0.3330
226,D2016_05_27_S0028_I776,E10,3655,embryo,0.9998,0.1947
227,D2016_05_27_S0028_I776,E10,5986,zona,0.9999,0.2629
228,D2016_05_27_S0028_I776,E10,5986,embryo,0.9961,0.1767
229,D2016_05_27_S0028_I776,E10,5353,zona,0.9995,0.3023
230,D2016_05_27_S0028_I776,E10,5353,embryo,0.9989,0.1828
231,D2016_05_27_S0028_I776,E10,1411,embryo,0.9997,0.1706
232,D2016_05_27_S0028_I776,E10,1411,zona,0.9996,0.2985
233,D2016_05_27_S0028_I776,E10,6266,zona,0.9994,0.2817
234,D2016_05_27_S0028_I776,E10,6266,embryo,0.7729,0.2170
235,D2016_05_27_S0028_I776,E10,1541,zona,0.9996,0.3206
236,D2016_05_27_S0028_I776,E10,1541,embryo,0.9437,0.1944
237,D2016_05_27_S0028_I776,E10,8040,zona,0.9995,0.3528
238,D2016_05_27_S0028_I776,E10,8040,embryo,0.9980,0.1828
239,D2016_05_27_S0028_I776,E10,4513,embryo,1.0000,0.1950
240,D2016_05_27_S0028_I776,E10,4513,zona,1.0000,0.3077
241,D2016_05_27_S0028_I776,E10,2625,zona,0.9999,0.2957
242,D2016_05_27_S0028_I776,E10,2625,embryo,0.9957,0.1910
243,D2016_05_27_S0028_I776,E10,5053,zona,0.9997,0.2995
244,D2016_05_27_S0028_I776,E10,5053,embryo,0.9838,0.1825
245,D2016_05_27_S0028_I776,E10,6106,zona,0.9998,0.2964
246,D2016_05_27_S0028_I776,E10,6106,embryo,0.9774,0.1781
247,D2016_05_27_S0028_I776,E10,2131,zona,0.9997,0.3143
248,D2016_05_27_S0028_I776,E10,2131,embryo,0.9995,0.1817
249,D2016_05_27_S0028_I776,E10,6396,zona,0.9996,0.2570
250,D2016_05_27_S0028_I776,E10,6396,embryo,0.9746,0.1915
251,D2016_05_27_S0028_I776,E10,1061,embryo,0.9937,0.1833
252,D2016_05_27_S0028_I776,E10,1061,zona,0.9902,0.3172
253,D2016_05_27_S0028_I776,E10,3715,zona,0.9999,0.2988
254,D2016_05_27_S0028_I776,E10,3715,embryo,0.9897,0.2168
255,D2016_05_27_S0028_I776,E10,6286,zona,0.9998,0.2751
256,D2016_05_27_S0028_I776,E10,6286,embryo,0.9865,0.2035
257,D2016_05_27_S0028_I776,E10,7520,zona,0.9999,0.2635
258,D2016_05_27_S0028_I776,E10,7520,embryo,0.9579,0.2013
259,D2016_05_27_S0028_I776,E10,2151,embryo,0.9999,0.1878
260,D2016_05_27_S0028_I776,E10,2151,zona,0.9998,0.3357
261,D2016_05_27_S0028_I776,E10,2051,zona,0.9998,0.3079
262,D2016_05_27_S0028_I776,E10,2051,embryo,0.9620,0.1974
263,D2016_05_27_S0028_I776,E10,3735,zona,0.9999,0.2990
264,D2016_05_27_S0028_I776,E10,3735,embryo,0.9987,0.1996
265,D2016_05_27_S0028_I776,E10,2331,zona,0.9998,0.3096
266,D2016_05_27_S0028_I776,E10,2331,embryo,0.9987,0.1859
267,D2016_05_27_S0028_I776,E10,4763,zona,0.9999,0.2809
268,D2016_05_27_S0028_I776,E10,4763,embryo,0.9998,0.1826
269,D2016_05_27_S0028_I776,E10,4443,zona,0.9999,0.2950
270,D2016_05_27_S0028_I776,E10,4443,embryo,0.9996,0.1806
271,D2016_05_27_S0028_I776,E10,1261,zona,0.9976,0.2943
272,D2016_05_27_S0028_I776,E10,1261,embryo,0.9431,0.1865
273,D2016_05_27_S0028_I776,E10,5946,zona,0.9998,0.2825
274,D2016_05_27_S0028_I776,E10,5946,embryo,0.9968,0.1816
275,D2016_05_27_S0028_I776,E10,4363,zona,0.9999,0.2909
276,D2016_05_27_S0028_I776,E10,4363,embryo,0.9998,0.1752
277,D2016_05_27_S0028_I776,E10,1911,zona,0.9999,0.3226
278,D2016_05_27_S0028_I776,E10,1911,embryo,0.9996,0.1887
279,D2016_05_27_S0028_I776,E10,3886,zona,0.9999,0.3003
280,D2016_05_27_S0028_I776,E10,3886,embryo,0.9994,0.1780
281,D2016_05_27_S0028_I776,E10,6743,zona,0.9998,0.2790
282,D2016_05_27_S0028_I776,E10,6743,embryo,0.9969,0.1722
283,D2016_05_27_S0028_I776,E10,8376,zona,0.9992,0.2856
284,D2016_05_27_S0028_I776,E10,8376,embryo,0.9973,0.2176
285,D2016_05_27_S0028_I776,E10,5836,zona,0.9997,0.2587
286,D2016_05_27_S0028_I776,E10,1221,zona,0.9990,0.3103
287,D2016_05_27_S0028_I776,E10,1221,embryo,0.9823,0.1905
288,D2016_05_27_S0028_I776,E10,8236,zona,0.9990,0.3528
289,D2016_05_27_S0028_I776,E10,8236,embryo,0.9943,0.1930
290,D2016_05_27_S0028_I776,E10,1201,zona,0.9968,0.2371
291,D2016_05_27_S0028_I776,E10,1201,embryo,0.6180,0.1949
292,D2016_05_27_S0028_I776,E10,5595,zona,0.9997,0.2813
293,D2016_05_27_S0028_I776,E10,5595,embryo,0.6850,0.2022
294,D2016_05_27_S0028_I776,E10,2291,zona,0.9999,0.2860
295,D2016_05_27_S0028_I776,E10,2291,embryo,0.9865,0.2060
296,D2016_05_27_S0028_I776,E10,6703,zona,0.9998,0.2824
297,D2016_05_27_S0028_I776,E10,6703,embryo,0.9894,0.1916
298,D2016_05_27_S0028_I776,E10,7750,zona,0.9995,0.3433
299,D2016_05_27_S0028_I776,E10,7750,embryo,0.9654,0.2258
300,D2016_05_27_S0028_I776,E10,3896,zona,0.9999,0.3072
301,D2016_05_27_S0028_I776,E10,3896,embryo,0.9997,0.1920
302,D2016_05_27_S0028_I776,E10,7380,zona,0.9996,0.2801
303,D2016_05_27_S0028_I776,E10,3455,zona,0.9998,0.3119
304,D2016_05_27_S0028_I776,E10,3455,embryo,0.9934,0.2179
305,D2016_05_27_S0028_I776,E10,8020,zona,0.9994,0.3143
306,D2016_05_27_S0028_I776,E10,8020,embryo,0.9948,0.1982
307,D2016_05_27_S0028_I776,E10,7010,zona,0.9990,0.2930
308,D2016_05_27_S0028_I776,E10,7010,embryo,0.6609,0.2075
309,D2016_05_27_S0028_I776,E10,6656,zona,0.9998,0.2791
310,D2016_05_27_S0028_I776,E10,6656,embryo,0.7157,0.1974
311,D2016_05_27_S0028_I776,E10,8346,zona,0.9997,0.2810
312,D2016_05_27_S0028_I776,E10,8346,embryo,0.9988,0.2245
313,D2016_05_27_S0028_I776,E10,3695,zona,0.9998,0.2960
314,D2016_05_27_S0028_I776,E10,3695,embryo,0.9330,0.2296
315,D2016_05_27_S0028_I776,E10,2221,embryo,0.9999,0.1700
316,D2016_05_27_S0028_I776,E10,2221,zona,0.9995,0.3522
317,D2016_05_27_S0028_I776,E10,2321,zona,0.9994,0.3225
318,D2016_05_27_S0028_I776,E10,5676,zona,0.9994,0.2919
319,D2016_05_27_S0028_I776,E10,5676,embryo,0.9779,0.2151
