,Batch,ID,Time,Class,Confidence,Size
0,D2016_05_27_S0028_I776,E10,2965,zona,0.9999,0.2738
1,D2016_05_27_S0028_I776,E10,8161,embryo,0.9963,0.2948
2,D2016_05_27_S0028_I776,E10,8161,zona,0.9640,0.3305
3,D2016_05_27_S0028_I776,E10,7760,zona,0.9999,0.3193
4,D2016_05_27_S0028_I776,E10,7760,embryo,0.8164,0.2472
5,D2016_05_27_S0028_I776,E10,2424,zona,0.9999,0.2793
6,D2016_05_27_S0028_I776,E10,3265,zona,1.0000,0.2816
7,D2016_05_27_S0028_I776,E10,5253,zona,0.9998,0.2825
8,D2016_05_27_S0028_I776,E10,6086,zona,1.0000,0.2924
9,D2016_05_27_S0028_I776,E10,961,zona,0.9956,0.2842
10,D2016_05_27_S0028_I776,E10,7540,zona,1.0000,0.3026
11,D2016_05_27_S0028_I776,E10,7540,embryo,0.9563,0.2149
12,D2016_05_27_S0028_I776,E10,4373,zona,1.0000,0.2963
13,D2016_05_27_S0028_I776,E10,3115,zona,1.0000,0.2950
14,D2016_05_27_S0028_I776,E10,5585,zona,0.9998,0.2868
15,D2016_05_27_S0028_I776,E10,4263,zona,1.0000,0.2960
16,D2016_05_27_S0028_I776,E10,7180,zona,1.0000,0.2926
17,D2016_05_27_S0028_I776,E10,7180,embryo,0.9152,0.2140
18,D2016_05_27_S0028_I776,E10,1241,zona,0.9996,0.2890
19,D2016_05_27_S0028_I776,E10,2191,zona,0.9999,0.2653
20,D2016_05_27_S0028_I776,E10,7741,zona,0.9999,0.3156
21,D2016_05_27_S0028_I776,E10,7741,embryo,0.9644,0.2312
22,D2016_05_27_S0028_I776,E10,3485,zona,0.9999,0.2823
23,D2016_05_27_S0028_I776,E10,2171,zona,0.9993,0.2835
24,D2016_05_27_S0028_I776,E10,7490,zona,1.0000,0.2846
25,D2016_05_27_S0028_I776,E10,7490,embryo,0.9095,0.1899
26,D2016_05_27_S0028_I776,E10,3165,zona,1.0000,0.2821
27,D2016_05_27_S0028_I776,E10,7921,zona,0.8470,0.3108
28,D2016_05_27_S0028_I776,E10,7921,embryo,0.5705,0.2588
29,D2016_05_27_S0028_I776,E10,2261,zona,0.9999,0.2592
30,D2016_05_27_S0028_I776,E10,5465,zona,0.9997,0.2811
31,D2016_05_27_S0028_I776,E10,4433,zona,1.0000,0.3025
32,D2016_05_27_S0028_I776,E10,7530,zona,1.0000,0.3080
33,D2016_05_27_S0028_I776,E10,7530,embryo,0.9381,0.2199
34,D2016_05_27_S0028_I776,E10,5656,zona,1.0000,0.2873
35,D2016_05_27_S0028_I776,E10,5383,zona,1.0000,0.2954
36,D2016_05_27_S0028_I776,E10,2755,zona,0.9999,0.2757
37,D2016_05_27_S0028_I776,E10,5786,zona,0.9999,0.2909
38,D2016_05_27_S0028_I776,E10,2895,zona,0.9999,0.2815
39,D2016_05_27_S0028_I776,E10,3992,zona,0.9999,0.2970
40,D2016_05_27_S0028_I776,E10,1501,zona,1.0000,0.2871
41,D2016_05_27_S0028_I776,E10,5133,zona,1.0000,0.2805
42,D2016_05_27_S0028_I776,E10,4343,zona,0.9998,0.2936
43,D2016_05_27_S0028_I776,E10,3936,zona,0.9997,0.2931
44,D2016_05_27_S0028_I776,E10,6146,zona,1.0000,0.2779
45,D2016_05_27_S0028_I776,E10,3035,zona,1.0000,0.2843
46,D2016_05_27_S0028_I776,E10,5313,zona,1.0000,0.2881
47,D2016_05_27_S0028_I776,E10,5806,zona,0.9997,0.2824
48,D2016_05_27_S0028_I776,E10,4663,zona,1.0000,0.2919
49,D2016_05_27_S0028_I776,E10,6830,zona,0.9999,0.2932
50,D2016_05_27_S0028_I776,E10,5766,zona,1.0000,0.2904
51,D2016_05_27_S0028_I776,E10,7450,zona,1.0000,0.2935
52,D2016_05_27_S0028_I776,E10,5816,zona,0.9999,0.2930
53,D2016_05_27_S0028_I776,E10,5966,zona,1.0000,0.2920
54,D2016_05_27_S0028_I776,E10,4813,zona,1.0000,0.2891
55,D2016_05_27_S0028_I776,E10,6556,zona,1.0000,0.2949
56,D2016_05_27_S0028_I776,E10,2091,zona,0.9999,0.2981
57,D2016_05_27_S0028_I776,E10,6306,zona,0.9999,0.2843
58,D2016_05_27_S0028_I776,E10,2381,zona,0.9987,0.2671
59,D2016_05_27_S0028_I776,E10,6683,zona,1.0000,0.2984
60,D2016_05_27_S0028_I776,E10,1181,zona,0.9921,0.2446
61,D2016_05_27_S0028_I776,E10,1181,embryo,0.5694,0.1720
