,Batch,ID,Time,Embryo,Zona,Ratio
767,D2018_02_25_S00434_I0776,E4,3226,0.2020,0.3363,0.6007
768,D2018_02_25_S00434_I0776,E4,4575,0.1988,0.3480,0.5713
769,D2018_02_25_S00434_I0776,E4,7206,,,
770,D2018_02_25_S00434_I0776,E4,5555,0.1767,0.3145,0.5618
771,D2018_02_25_S00434_I0776,E4,3587,0.2024,0.3745,0.5405
772,D2018_02_25_S00434_I0776,E4,7060,,,
773,D2018_02_25_S00434_I0776,E4,8486,,,
774,D2018_02_25_S00434_I0776,E4,6511,0.2665,0.3736,0.7133
775,D2018_02_25_S00434_I0776,E4,4645,0.1940,0.3630,0.5344
776,D2018_02_25_S00434_I0776,E4,6181,0.1897,0.3294,0.5759
777,D2018_02_25_S00434_I0776,E4,6301,0.2393,0.3610,0.6629
778,D2018_02_25_S00434_I0776,E4,7236,,,
779,D2018_02_25_S00434_I0776,E4,2966,0.2149,0.3447,0.6234
780,D2018_02_25_S00434_I0776,E4,4475,0.2070,0.3351,0.6177
781,D2018_02_25_S00434_I0776,E4,3937,0.2019,0.3234,0.6243
782,D2018_02_25_S00434_I0776,E4,4345,0.2088,0.3166,0.6595
783,D2018_02_25_S00434_I0776,E4,8876,,,
784,D2018_02_25_S00434_I0776,E4,2716,0.2312,0.3542,0.6527
785,D2018_02_25_S00434_I0776,E4,9366,,,
786,D2018_02_25_S00434_I0776,E4,8976,,,
787,D2018_02_25_S00434_I0776,E4,8007,,,
788,D2018_02_25_S00434_I0776,E4,6741,,,
789,D2018_02_25_S00434_I0776,E4,8392,,,
790,D2018_02_25_S00434_I0776,E4,6150,0.1987,0.3333,0.5962
791,D2018_02_25_S00434_I0776,E4,3987,0.1982,0.3348,0.5920
792,D2018_02_25_S00434_I0776,E4,6681,0.2778,0.3290,0.8444
793,D2018_02_25_S00434_I0776,E4,9156,,,
794,D2018_02_25_S00434_I0776,E4,1138,0.1723,0.3196,0.5391
795,D2018_02_25_S00434_I0776,E4,4315,0.1934,0.3307,0.5848
796,D2018_02_25_S00434_I0776,E4,5015,0.2026,0.3334,0.6077
797,D2018_02_25_S00434_I0776,E4,2956,0.2253,0.3523,0.6395
798,D2018_02_25_S00434_I0776,E4,9076,,,
799,D2018_02_25_S00434_I0776,E4,1898,0.2022,0.3597,0.5621
800,D2018_02_25_S00434_I0776,E4,2826,0.2209,0.3585,0.6162
801,D2018_02_25_S00434_I0776,E4,5950,0.1986,0.3276,0.6062
802,D2018_02_25_S00434_I0776,E4,1848,0.1952,0.3330,0.5862
803,D2018_02_25_S00434_I0776,E4,9407,,,
804,D2018_02_25_S00434_I0776,E4,9356,,,
