,Batch,ID,Time,Class,Confidence,Size
0,D2018_05_05_S00475_I0776,E1,1726,zona,0.9999,0.2891
1,D2018_05_05_S00475_I0776,E1,1726,embryo,0.9902,0.1923
2,D2018_05_05_S00475_I0776,E1,6479,zona,0.9994,0.2929
3,D2018_05_05_S00475_I0776,E1,6479,embryo,0.9451,0.1807
4,D2018_05_05_S00475_I0776,E1,4600,zona,0.9987,0.2622
5,D2018_05_05_S00475_I0776,E1,4600,embryo,0.9162,0.2099
6,D2018_05_05_S00475_I0776,E1,7724,zona,0.9998,0.2920
7,D2018_05_05_S00475_I0776,E1,4740,zona,0.9993,0.2826
8,D2018_05_05_S00475_I0776,E1,4740,embryo,0.5477,0.1975
9,D2018_05_05_S00475_I0776,E1,826,zona,0.9997,0.2825
10,D2018_05_05_S00475_I0776,E1,826,embryo,0.8033,0.2204
11,D2018_05_05_S00475_I0776,E1,4860,zona,0.9971,0.2554
12,D2018_05_05_S00475_I0776,E1,4860,embryo,0.9559,0.2003
13,D2018_05_05_S00475_I0776,E1,6829,zona,0.9997,0.3029
14,D2018_05_05_S00475_I0776,E1,6829,embryo,0.7054,0.2248
15,D2018_05_05_S00475_I0776,E1,215,zona,0.9891,0.2823
16,D2018_05_05_S00475_I0776,E1,215,embryo,0.9032,0.2212
17,D2018_05_05_S00475_I0776,E1,1086,zona,1.0000,0.2858
18,D2018_05_05_S00475_I0776,E1,1086,embryo,0.9711,0.2066
19,D2018_05_05_S00475_I0776,E1,4188,zona,1.0000,0.2835
20,D2018_05_05_S00475_I0776,E1,1336,zona,1.0000,0.2933
21,D2018_05_05_S00475_I0776,E1,1336,embryo,0.9734,0.1704
22,D2018_05_05_S00475_I0776,E1,2226,zona,0.9998,0.2997
23,D2018_05_05_S00475_I0776,E1,2226,embryo,0.9990,0.1794
24,D2018_05_05_S00475_I0776,E1,5160,zona,0.9915,0.2616
25,D2018_05_05_S00475_I0776,E1,5160,embryo,0.5475,0.2179
26,D2018_05_05_S00475_I0776,E1,3948,zona,0.9996,0.2940
27,D2018_05_05_S00475_I0776,E1,1656,zona,0.9909,0.2721
28,D2018_05_05_S00475_I0776,E1,275,zona,0.9997,0.2792
29,D2018_05_05_S00475_I0776,E1,275,embryo,0.9226,0.2006
30,D2018_05_05_S00475_I0776,E1,2126,zona,1.0000,0.2910
31,D2018_05_05_S00475_I0776,E1,2126,embryo,0.9608,0.2160
32,D2018_05_05_S00475_I0776,E1,4148,zona,0.9982,0.2812
33,D2018_05_05_S00475_I0776,E1,976,zona,1.0000,0.2958
34,D2018_05_05_S00475_I0776,E1,976,embryo,0.9803,0.2060
35,D2018_05_05_S00475_I0776,E1,966,zona,1.0000,0.2932
36,D2018_05_05_S00475_I0776,E1,966,embryo,0.7231,0.2301
37,D2018_05_05_S00475_I0776,E1,2376,zona,1.0000,0.2802
38,D2018_05_05_S00475_I0776,E1,2376,embryo,0.8220,0.2208
39,D2018_05_05_S00475_I0776,E1,3738,zona,0.9999,0.2962
40,D2018_05_05_S00475_I0776,E1,3738,embryo,0.8319,0.2221
41,D2018_05_05_S00475_I0776,E1,6309,zona,0.8584,0.2662
42,D2018_05_05_S00475_I0776,E1,6309,embryo,0.5827,0.2584
43,D2018_05_05_S00475_I0776,E1,4570,zona,0.9975,0.2591
44,D2018_05_05_S00475_I0776,E1,4570,embryo,0.6807,0.2224
45,D2018_05_05_S00475_I0776,E1,4450,zona,0.9993,0.2737
46,D2018_05_05_S00475_I0776,E1,4450,embryo,0.9444,0.2105
47,D2018_05_05_S00475_I0776,E1,5828,zona,0.9897,0.2725
48,D2018_05_05_S00475_I0776,E1,7664,zona,0.9999,0.3090
49,D2018_05_05_S00475_I0776,E1,756,zona,0.9979,0.2735
50,D2018_05_05_S00475_I0776,E1,2917,zona,0.9989,0.2808
51,D2018_05_05_S00475_I0776,E1,1056,zona,1.0000,0.2890
52,D2018_05_05_S00475_I0776,E1,1056,embryo,0.8620,0.2210
53,D2018_05_05_S00475_I0776,E1,3828,zona,0.9992,0.2807
54,D2018_05_05_S00475_I0776,E1,3828,embryo,0.7555,0.1733
55,D2018_05_05_S00475_I0776,E1,1286,zona,1.0000,0.2832
56,D2018_05_05_S00475_I0776,E1,1286,embryo,0.9448,0.1890
57,D2018_05_05_S00475_I0776,E1,4198,zona,1.0000,0.2899
58,D2018_05_05_S00475_I0776,E1,4198,embryo,0.6370,0.2286
59,D2018_05_05_S00475_I0776,E1,1496,zona,1.0000,0.2939
60,D2018_05_05_S00475_I0776,E1,8044,zona,1.0000,0.3011
61,D2018_05_05_S00475_I0776,E1,7273,zona,0.9999,0.2869
62,D2018_05_05_S00475_I0776,E1,6549,zona,0.9791,0.2718
63,D2018_05_05_S00475_I0776,E1,5798,zona,0.9787,0.2519
64,D2018_05_05_S00475_I0776,E1,5170,zona,0.9922,0.2668
65,D2018_05_05_S00475_I0776,E1,5170,embryo,0.8420,0.2205
66,D2018_05_05_S00475_I0776,E1,595,zona,0.9986,0.2693
67,D2018_05_05_S00475_I0776,E1,6899,zona,0.9992,0.2619
68,D2018_05_05_S00475_I0776,E1,6899,embryo,0.8270,0.2186
69,D2018_05_05_S00475_I0776,E1,1556,zona,0.9974,0.2691
70,D2018_05_05_S00475_I0776,E1,2366,zona,1.0000,0.2886
71,D2018_05_05_S00475_I0776,E1,2366,embryo,0.9978,0.1881
72,D2018_05_05_S00475_I0776,E1,7283,zona,0.9997,0.2841
