,Batch,ID,Time,Class,Confidence,Size
74,D2018_02_25_S00434_I0776,E4,6441,zona,0.9994,0.4114
75,D2018_02_25_S00434_I0776,E4,5305,zona,0.9997,0.3011
76,D2018_02_25_S00434_I0776,E4,2088,zona,0.9953,0.2779
77,D2018_02_25_S00434_I0776,E4,1908,zona,0.9996,0.2887
78,D2018_02_25_S00434_I0776,E4,2552,zona,0.9987,0.3906
79,D2018_02_25_S00434_I0776,E4,2552,embryo,0.6631,0.2248
80,D2018_02_25_S00434_I0776,E4,2329,zona,0.9995,0.2954
81,D2018_02_25_S00434_I0776,E4,3277,zona,1.0000,0.3078
82,D2018_02_25_S00434_I0776,E4,3277,embryo,0.5109,0.2410
83,D2018_02_25_S00434_I0776,E4,2389,zona,0.9962,0.3903
84,D2018_02_25_S00434_I0776,E4,2389,embryo,0.7278,0.2289
85,D2018_02_25_S00434_I0776,E4,3817,zona,0.9988,0.3975
86,D2018_02_25_S00434_I0776,E4,3817,embryo,0.9492,0.1880
87,D2018_02_25_S00434_I0776,E4,6721,zona,0.9997,0.4466
88,D2018_02_25_S00434_I0776,E4,6721,embryo,0.9975,0.2646
89,D2018_02_25_S00434_I0776,E4,2148,zona,0.9983,0.2913
90,D2018_02_25_S00434_I0776,E4,2028,zona,0.9997,0.2937
91,D2018_02_25_S00434_I0776,E4,4525,zona,0.9998,0.3029
92,D2018_02_25_S00434_I0776,E4,1658,zona,0.9997,0.2880
93,D2018_02_25_S00434_I0776,E4,1778,zona,0.9999,0.2861
94,D2018_02_25_S00434_I0776,E4,6807,zona,0.9976,0.4104
95,D2018_02_25_S00434_I0776,E4,6807,embryo,0.9716,0.2621
96,D2018_02_25_S00434_I0776,E4,1448,zona,0.9997,0.2891
97,D2018_02_25_S00434_I0776,E4,1568,zona,0.9997,0.2908
98,D2018_02_25_S00434_I0776,E4,5365,zona,0.9998,0.3022
99,D2018_02_25_S00434_I0776,E4,6701,embryo,0.9993,0.2911
100,D2018_02_25_S00434_I0776,E4,6701,zona,0.9990,0.4268
101,D2018_02_25_S00434_I0776,E4,4705,zona,0.9998,0.3072
102,D2018_02_25_S00434_I0776,E4,2642,zona,0.9967,0.3966
103,D2018_02_25_S00434_I0776,E4,4385,zona,0.9979,0.2672
104,D2018_02_25_S00434_I0776,E4,5765,zona,1.0000,0.3214
105,D2018_02_25_S00434_I0776,E4,3997,zona,0.9980,0.3894
106,D2018_02_25_S00434_I0776,E4,3997,embryo,0.9402,0.1956
107,D2018_02_25_S00434_I0776,E4,4935,zona,0.9999,0.3151
108,D2018_02_25_S00434_I0776,E4,6977,zona,0.7024,0.3003
109,D2018_02_25_S00434_I0776,E4,4875,zona,0.9997,0.3062
110,D2018_02_25_S00434_I0776,E4,4625,zona,0.9999,0.3058
111,D2018_02_25_S00434_I0776,E4,2038,zona,0.9992,0.2868
112,D2018_02_25_S00434_I0776,E4,2622,zona,0.9992,0.2785
113,D2018_02_25_S00434_I0776,E4,2622,embryo,0.8201,0.2065
114,D2018_02_25_S00434_I0776,E4,4805,zona,0.9988,0.3081
115,D2018_02_25_S00434_I0776,E4,2339,zona,0.9991,0.3109
116,D2018_02_25_S00434_I0776,E4,5355,zona,0.9999,0.2978
117,D2018_02_25_S00434_I0776,E4,2379,zona,0.9992,0.3905
118,D2018_02_25_S00434_I0776,E4,2379,embryo,0.5736,0.2157
119,D2018_02_25_S00434_I0776,E4,3857,zona,0.9975,0.4080
120,D2018_02_25_S00434_I0776,E4,5655,zona,1.0000,0.3232
121,D2018_02_25_S00434_I0776,E4,5655,embryo,0.5675,0.2381
122,D2018_02_25_S00434_I0776,E4,6040,zona,0.9984,0.2950
123,D2018_02_25_S00434_I0776,E4,6040,embryo,0.5010,0.2201
124,D2018_02_25_S00434_I0776,E4,4405,zona,0.9996,0.2981
125,D2018_02_25_S00434_I0776,E4,5830,zona,1.0000,0.3195
126,D2018_02_25_S00434_I0776,E4,5830,embryo,0.7813,0.1820
127,D2018_02_25_S00434_I0776,E4,1838,zona,0.9995,0.2857
128,D2018_02_25_S00434_I0776,E4,1438,zona,0.9998,0.2927
129,D2018_02_25_S00434_I0776,E4,4685,zona,0.9990,0.3072
130,D2018_02_25_S00434_I0776,E4,6501,zona,0.9997,0.3813
131,D2018_02_25_S00434_I0776,E4,6501,embryo,0.9873,0.2592
132,D2018_02_25_S00434_I0776,E4,6161,zona,0.9994,0.3821
133,D2018_02_25_S00434_I0776,E4,6161,embryo,0.9856,0.2117
134,D2018_02_25_S00434_I0776,E4,4257,zona,0.9995,0.3889
135,D2018_02_25_S00434_I0776,E4,4257,embryo,0.8751,0.2227
136,D2018_02_25_S00434_I0776,E4,5435,zona,1.0000,0.3098
137,D2018_02_25_S00434_I0776,E4,5930,zona,1.0000,0.3112
138,D2018_02_25_S00434_I0776,E4,4515,zona,0.9999,0.3035
139,D2018_02_25_S00434_I0776,E4,3717,zona,0.9988,0.4108
140,D2018_02_25_S00434_I0776,E4,6100,zona,0.9996,0.2918
141,D2018_02_25_S00434_I0776,E4,6100,embryo,0.9917,0.1972
142,D2018_02_25_S00434_I0776,E4,2269,zona,0.9992,0.2914
143,D2018_02_25_S00434_I0776,E4,1798,zona,0.9998,0.2992
144,D2018_02_25_S00434_I0776,E4,4495,zona,0.9993,0.2773
