,Batch,ID,Time,Class,Confidence,Size
0,D2017_01_10_S0172_I776,E3,2329,zona,1.0000,0.2933
1,D2017_01_10_S0172_I776,E3,2329,embryo,0.9999,0.2286
2,D2017_01_10_S0172_I776,E3,6380,zona,0.9997,0.2647
3,D2017_01_10_S0172_I776,E3,4077,zona,1.0000,0.2733
4,D2017_01_10_S0172_I776,E3,4077,embryo,0.9611,0.1938
5,D2017_01_10_S0172_I776,E3,6690,zona,0.9999,0.2976
6,D2017_01_10_S0172_I776,E3,6690,embryo,0.9182,0.2143
7,D2017_01_10_S0172_I776,E3,4328,zona,0.9999,0.2747
8,D2017_01_10_S0172_I776,E3,4328,embryo,0.9952,0.1848
9,D2017_01_10_S0172_I776,E3,7858,zona,0.9981,0.3957
10,D2017_01_10_S0172_I776,E3,7858,embryo,0.8560,0.2333
11,D2017_01_10_S0172_I776,E3,3600,zona,1.0000,0.2859
12,D2017_01_10_S0172_I776,E3,3600,embryo,0.8055,0.2232
13,D2017_01_10_S0172_I776,E3,1389,zona,1.0000,0.2654
14,D2017_01_10_S0172_I776,E3,1309,zona,1.0000,0.2536
15,D2017_01_10_S0172_I776,E3,1309,embryo,0.8788,0.1538
16,D2017_01_10_S0172_I776,E3,2620,zona,0.9997,0.2768
17,D2017_01_10_S0172_I776,E3,2620,embryo,0.5072,0.2212
18,D2017_01_10_S0172_I776,E3,3380,zona,0.9996,0.2849
19,D2017_01_10_S0172_I776,E3,3380,embryo,0.7018,0.2409
20,D2017_01_10_S0172_I776,E3,4398,zona,0.9999,0.2874
21,D2017_01_10_S0172_I776,E3,4398,embryo,0.9925,0.1900
22,D2017_01_10_S0172_I776,E3,3030,zona,0.9999,0.2630
23,D2017_01_10_S0172_I776,E3,3030,embryo,0.9603,0.1979
24,D2017_01_10_S0172_I776,E3,1639,zona,1.0000,0.2997
25,D2017_01_10_S0172_I776,E3,5710,zona,0.9999,0.2942
26,D2017_01_10_S0172_I776,E3,5109,zona,0.9995,0.2711
27,D2017_01_10_S0172_I776,E3,5109,embryo,0.6195,0.1926
28,D2017_01_10_S0172_I776,E3,4177,zona,1.0000,0.2898
29,D2017_01_10_S0172_I776,E3,4177,embryo,0.9651,0.2083
30,D2017_01_10_S0172_I776,E3,4217,zona,1.0000,0.2871
31,D2017_01_10_S0172_I776,E3,4217,embryo,0.9904,0.1926
32,D2017_01_10_S0172_I776,E3,5259,zona,0.9999,0.2798
33,D2017_01_10_S0172_I776,E3,5259,embryo,0.7422,0.2195
34,D2017_01_10_S0172_I776,E3,1159,zona,1.0000,0.2578
35,D2017_01_10_S0172_I776,E3,1159,embryo,0.9144,0.2243
36,D2017_01_10_S0172_I776,E3,6210,zona,0.9997,0.3063
37,D2017_01_10_S0172_I776,E3,4729,zona,0.9998,0.2854
38,D2017_01_10_S0172_I776,E3,4729,embryo,0.9852,0.1940
39,D2017_01_10_S0172_I776,E3,6820,zona,1.0000,0.2804
40,D2017_01_10_S0172_I776,E3,6820,embryo,0.5413,0.2195
41,D2017_01_10_S0172_I776,E3,1009,zona,0.9999,0.2646
42,D2017_01_10_S0172_I776,E3,2259,zona,1.0000,0.2903
43,D2017_01_10_S0172_I776,E3,2259,embryo,0.9820,0.2173
44,D2017_01_10_S0172_I776,E3,7988,zona,0.9969,0.3270
45,D2017_01_10_S0172_I776,E3,7988,embryo,0.5248,0.2739
46,D2017_01_10_S0172_I776,E3,5399,zona,0.9998,0.2795
47,D2017_01_10_S0172_I776,E3,5399,embryo,0.9719,0.2127
48,D2017_01_10_S0172_I776,E3,1029,zona,0.9999,0.2563
49,D2017_01_10_S0172_I776,E3,1029,embryo,0.5346,0.2046
50,D2017_01_10_S0172_I776,E3,2179,zona,0.9999,0.2758
51,D2017_01_10_S0172_I776,E3,2179,embryo,0.9567,0.2116
52,D2017_01_10_S0172_I776,E3,5269,zona,1.0000,0.2760
53,D2017_01_10_S0172_I776,E3,5269,embryo,0.8745,0.2058
54,D2017_01_10_S0172_I776,E3,8037,zona,0.9995,0.3768
55,D2017_01_10_S0172_I776,E3,5850,zona,0.9999,0.2936
56,D2017_01_10_S0172_I776,E3,5850,embryo,0.9019,0.2124
57,D2017_01_10_S0172_I776,E3,1199,zona,1.0000,0.2624
58,D2017_01_10_S0172_I776,E3,1199,embryo,0.6688,0.2160
59,D2017_01_10_S0172_I776,E3,8158,zona,0.7993,0.3158
60,D2017_01_10_S0172_I776,E3,8158,embryo,0.5139,0.3202
61,D2017_01_10_S0172_I776,E3,6170,zona,1.0000,0.2946
62,D2017_01_10_S0172_I776,E3,6170,embryo,0.8596,0.2097
63,D2017_01_10_S0172_I776,E3,3640,zona,1.0000,0.2770
64,D2017_01_10_S0172_I776,E3,3640,embryo,0.9040,0.1991
65,D2017_01_10_S0172_I776,E3,4929,zona,0.9991,0.2877
66,D2017_01_10_S0172_I776,E3,1759,zona,0.9945,0.2767
67,D2017_01_10_S0172_I776,E3,5910,zona,0.9999,0.2787
68,D2017_01_10_S0172_I776,E3,5910,embryo,0.9860,0.2058
69,D2017_01_10_S0172_I776,E3,6600,zona,0.9998,0.2938
70,D2017_01_10_S0172_I776,E3,6600,embryo,0.7492,0.1981
71,D2017_01_10_S0172_I776,E3,2239,zona,0.9999,0.2925
72,D2017_01_10_S0172_I776,E3,2239,embryo,0.8741,0.2302
73,D2017_01_10_S0172_I776,E3,5439,zona,0.9998,0.2913
74,D2017_01_10_S0172_I776,E3,1289,zona,1.0000,0.2621
75,D2017_01_10_S0172_I776,E3,4278,zona,1.0000,0.2775
76,D2017_01_10_S0172_I776,E3,4278,embryo,0.9938,0.1913
77,D2017_01_10_S0172_I776,E3,4578,zona,0.9999,0.2654
78,D2017_01_10_S0172_I776,E3,4578,embryo,0.6335,0.2114
79,D2017_01_10_S0172_I776,E3,5019,zona,0.9990,0.2851
80,D2017_01_10_S0172_I776,E3,6010,zona,0.9999,0.2803
81,D2017_01_10_S0172_I776,E3,6010,embryo,0.8830,0.2087
82,D2017_01_10_S0172_I776,E3,5309,zona,1.0000,0.2914
83,D2017_01_10_S0172_I776,E3,5309,embryo,0.8584,0.2019
84,D2017_01_10_S0172_I776,E3,2930,zona,0.9999,0.2680
85,D2017_01_10_S0172_I776,E3,2930,embryo,0.5081,0.2127
86,D2017_01_10_S0172_I776,E3,8363,zona,0.9981,0.4025
87,D2017_01_10_S0172_I776,E3,8363,embryo,0.7240,0.2705
88,D2017_01_10_S0172_I776,E3,6850,zona,0.9999,0.2811
89,D2017_01_10_S0172_I776,E3,7677,zona,0.9995,0.2879
90,D2017_01_10_S0172_I776,E3,5920,zona,1.0000,0.2863
91,D2017_01_10_S0172_I776,E3,5920,embryo,0.9302,0.2072
92,D2017_01_10_S0172_I776,E3,6100,zona,0.9999,0.2791
93,D2017_01_10_S0172_I776,E3,7087,zona,0.9993,0.2582
94,D2017_01_10_S0172_I776,E3,7087,embryo,0.5156,0.2028
95,D2017_01_10_S0172_I776,E3,6630,zona,0.9997,0.2791
96,D2017_01_10_S0172_I776,E3,5529,zona,0.9999,0.2869
97,D2017_01_10_S0172_I776,E3,5529,embryo,0.8421,0.2299
98,D2017_01_10_S0172_I776,E3,7357,zona,1.0000,0.3100
99,D2017_01_10_S0172_I776,E3,3370,zona,0.9998,0.2837
100,D2017_01_10_S0172_I776,E3,3370,embryo,0.6971,0.2382
101,D2017_01_10_S0172_I776,E3,8017,zona,0.9980,0.3177
102,D2017_01_10_S0172_I776,E3,8278,zona,0.9879,0.3387
103,D2017_01_10_S0172_I776,E3,8443,zona,0.9994,0.2896
104,D2017_01_10_S0172_I776,E3,8443,embryo,0.5561,0.2636
105,D2017_01_10_S0172_I776,E3,7917,zona,0.9843,0.4158
106,D2017_01_10_S0172_I776,E3,5980,zona,0.9999,0.2758
107,D2017_01_10_S0172_I776,E3,5980,embryo,0.9859,0.2031
108,D2017_01_10_S0172_I776,E3,6070,zona,0.9999,0.2832
109,D2017_01_10_S0172_I776,E3,6070,embryo,0.5747,0.2088
110,D2017_01_10_S0172_I776,E3,2309,zona,0.9943,0.2694
111,D2017_01_10_S0172_I776,E3,2309,embryo,0.5645,0.1670
112,D2017_01_10_S0172_I776,E3,3390,zona,1.0000,0.2724
113,D2017_01_10_S0172_I776,E3,3390,embryo,0.9253,0.2014
114,D2017_01_10_S0172_I776,E3,3720,zona,1.0000,0.2821
115,D2017_01_10_S0172_I776,E3,6550,zona,1.0000,0.2798
116,D2017_01_10_S0172_I776,E3,1239,zona,1.0000,0.2603
117,D2017_01_10_S0172_I776,E3,1239,embryo,0.9906,0.1945
